TIME_PERIOD,Net Migration (World Bank),Air Passenger Transport,Population,Employment,Emigration of Citizens,Exports (National Accounts),GDP (Quarterly),Energy Prices,Inflation (HICP Manufacturing),Road Passenger Transport,Industrial Production Index,Retail Trade Turnover,Tourist Overnight Stays,Freight Transport,Unemployment Rate
2012-06-01,,10740924.0,,,,,,,274.1,,58021.0,20520.02,1659800.7,,2468.9
2012-07-01,,44181804.0,,55207.3,,,1955998.841,450.593,241.4,,54256.2,21568.23,2316462.64,,2283.6
2012-08-01,,11054852.0,,,,,,,230.4,,61313.7,22018.44,2102164.21,,2207.8
2012-09-01,,10064624.0,,,,,,,197.9,,56636.3,21406.25,1282561.78,,2191.6
2012-10-01,,33009720.0,,55232.3,,,2009005.226,,179.5,,61589.5,21753.84,1164533.87,,2238.1
2012-11-01,,7082732.0,,,,,,,159.4,,58744.6,20546.33,1064938.16,,2221.5
2012-12-01,,7389748.0,,,,,,,175.2,,55108.7,22778.0,1057841.3599999999,,2152.5
2013-01-01,-14386.0,135810912.0,8095300.0,54697.0,382094.0,841472.3,1823632.53,409.6712,32.3,14465.9,52718.1,19966.21,1027033.97,107.6,2057.8
2013-02-01,,6317996.0,,,,,,,14.7,,50307.9,19493.47,888475.99,,1998.0
2013-03-01,,7878032.0,,,,,,,41.300000000000004,,52011.2,20500.94,1033952.78,,1893.9
2013-04-01,,39072320.0,,54541.3,,,1949533.197,,-41.6,,55003.4,20324.37,1078062.79,,1780.8
2013-05-01,,10031988.0,,,,,,,-19.499999999999996,,57106.2,21751.73,1409237.23,,1723.2
2013-06-01,,11033900.0,,,,,,,13.600000000000003,,58432.9,21410.7,1779179.25,,1742.5
2013-07-01,,43901240.0,,55161.0,,,2022445.036,406.7353,47.1,,60071.0,22697.46,2482097.21,,1861.5
2013-08-01,,10911476.0,,,,,,,-16.200000000000006,,56987.7,22855.31,2381867.08,,1931.6
2013-09-01,,9974340.0,,,,,,,22.099999999999994,,56450.7,22459.45,1319452.04,,1919.9
2013-10-01,,33425068.0,,54738.8,,,2049753.576,,82.8,,59974.6,22671.25,1220594.84,,1828.8
2013-11-01,,7328836.0,,,,,,,39.8,,57954.4,21695.53,1125800.64,,1777.3
2013-12-01,,7377568.0,,,,,,,9.099999999999998,,55531.1,24098.34,999518.99,,1758.3
2014-01-01,-8799.0,138179008.0,8005872.0,54517.5,631846.0,887692.9,1881978.648,435.52369999999996,173.5,15346.3,47225.1,20465.98,1087212.69,104.8,1767.1
2014-02-01,,6144996.0,,,,,,,165.0,,47337.9,19480.87,878180.38,,1776.5
2014-03-01,,7396540.0,,,,,,,138.8,,50137.9,21264.9,1042830.0599999999,,1749.2
2014-04-01,,39723484.0,,54325.1,,,2002851.008,,177.0,,51999.5,21916.38,1218896.28,,1687.3
2014-05-01,,9812072.0,,,,,,,143.1,,50831.9,21544.37,1607373.35,,1630.4
2014-06-01,,11516372.0,,,,,,,142.20000000000002,,50205.8,21717.17,1985094.65,,1606.1
2014-07-01,,45995676.0,,54104.2,,,2059091.524,432.7821,131.2,,49502.7,23139.52,2901868.17,,1632.4
2014-08-01,,11696504.0,,,,,,,157.7,,50946.9,23177.54,2517476.84,,1654.3
2014-09-01,,10583244.0,,,,,,,202.2,,53618.3,22547.29,1546367.33,,1644.4
2014-10-01,,35349460.0,,54088.8,,,2114643.94,,144.2,,55317.0,23845.18,1343454.72,,1607.4
2014-11-01,,7986364.0,,,,,,,161.1,,50378.6,22573.57,1143095.38,,1574.6
2014-12-01,,7962784.0,,,,,,,129.3,,49923.4,24555.46,1064528.22,,1522.0
2015-01-01,-10826.0,151964716.0,7944384.0,54341.4,350716.0,901287.2,1916368.631,442.3952,-2.0999999999999956,16190.0,47425.5,18705.3,970493.41,100.0,1476.4
2015-02-01,,7001484.0,,,,,,,61.6,,46665.6,18850.5,936050.02,,1490.1
2015-03-01,,8835348.0,,,,,,,112.2,,48751.3,20856.9,1069265.06,,1501.1
2015-04-01,,42621644.0,,54677.2,,,2060470.092,,157.70000000000002,,51125.0,20683.7,1230551.66,,1462.3
2015-05-01,,11008212.0,,,,,,,265.1,,47713.1,20503.2,1574533.1400000001,,1456.4
2015-06-01,,12316968.0,,,,,,,202.8,,48567.9,21260.1,1859027.19,,1471.8
2015-07-01,,49740264.0,,54681.1,,,2146418.336,436.6879,73.2,,50698.5,22718.5,2684165.23,,1479.6
